server_name,server_id,latency,jitter,packet_loss,download,upload,download_bytes,upload_bytes,share_url
"Tachus Fiber Internet - Kingwood, TX","31015","42.953","6.976","0","63071","68108","669980","949370","https://www.speedtest.net/result/c/26e802c5-d5dc-41a2-acf6-95af68944373"
"fdcservers.net - Houston, TX","26652","41.979","7.472","N/A","57992","63612","652950","822286","https://www.speedtest.net/result/c/a73e7c65-900f-424c-a238-91fe90f0bb41"
"fdcservers.net - Houston, TX","26652","43.921","7.503","N/A","64959","67326","660832","759744","https://www.speedtest.net/result/c/cf5ca632-bd0d-447e-bf4a-fa34126ab1a0"
"fdcservers.net - Houston, TX","26652","48.943","3.606","N/A","64064","62404","834652","588872","https://www.speedtest.net/result/c/f566f479-912c-4a53-9e6a-0413299d7909"
"Comcast - Houston, TX","1763","79.016","127.366","N/A","1374865","200662","18925452","1496052","https://www.speedtest.net/result/c/4fc8926a-dbdb-4366-9566-5e17801b761a"
"En-Touch Systems Inc. - Houston, TX","11772","56.98","4.727","0","2117940","254164","24117756","3407272","https://www.speedtest.net/result/c/2381bb7c-582e-44de-b06c-61ddd943d814"
"Comcast - Houston, TX","1763","47.959","7.041","N/A","1593353","445087","18596110","3992066","https://www.speedtest.net/result/c/27ebeb0f-5c7c-4ef3-81f0-d64d0371154f"
"fdcservers.net - Houston, TX","26652","61.961","34.511","N/A","66683","61335","851604","799240","https://www.speedtest.net/result/c/7c44ccf1-8683-4eed-91b7-ab352cc03c41"
"fdcservers.net - Houston, TX","26652","159.835","0.109","N/A","62168","63158","722646","615586","https://www.speedtest.net/result/c/37edb2d4-734b-42dd-aef0-2a4ed0747c0a"
"fdcservers.net - Houston, TX","26652","49.934","40.595","N/A","65957","64110","957470","690378","https://www.speedtest.net/result/c/cc9a6cfe-2b04-42ea-8082-63db3622dd52"
"Tachus Fiber Internet - Kingwood, TX","31015","41.983","6.463","0","61518","66966","561534","878480","https://www.speedtest.net/result/c/32d4644c-5672-4f47-bf0f-7d651af8b198"
"En-Touch Systems Inc. - Houston, TX","11772","97.954","28.811","0","276056","228658","2863484","1031742","https://www.speedtest.net/result/c/fc58b66f-ecbf-465d-87b7-e553cbc33610"
"Tachus Fiber Internet - Kingwood, TX","31015","104.016","168.541","0","65005","65236","682076","676930","https://www.speedtest.net/result/c/4f0e0909-86c9-4f23-8101-d38565ab07f5"
"Comcast - Houston, TX","1763","115.006","9.583","N/A","526668","196017","4191876","1160276","https://www.speedtest.net/result/c/62e0d492-a5a8-4d91-af3d-3f628fd3c1e1"
"En-Touch Systems Inc. - Houston, TX","11772","159.925","2.536","0","1192534","246292","12503972","1492840","https://www.speedtest.net/result/c/fda3dece-c2f0-4eca-967e-e463ea0ef9a3"
